,Network,WroRate,Method,Metric,Value
393,PROPERTY,2,PCstable$^{\triangledown}$,SHD,27
394,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.1951219512195122
395,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.2857142857142857
396,PROPERTY,2,PCstable$^{\triangledown}$,SHD,25
397,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.3181818181818182
398,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.7272727272727272
399,PROPERTY,2,PCstable$^{\triangledown}$,SHD,25
400,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.3043478260869565
401,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.2857142857142857
402,PROPERTY,2,PCstable$^{\triangledown}$,SHD,25
403,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.35555555555555557
